순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,명량,2014-07-30,135757418810,17615686,1587,188720,한국,한국,(주)씨제이이엔엠
2,극한직업,2019-01-23,139655543516,16266338,2003,292816,한국,한국,(주)씨제이이엔엠
3,신과함께-죄와 벌,2017-12-20,115727528087,14414658,1912,214631,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
4,국제시장,2014-12-17,110944607730,14263980,1044,212696,한국,한국,(주)씨제이이엔엠
5,어벤져스: 엔드게임,2019-04-24,122492181020,13977602,2835,246433,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,겨울왕국 2,2019-11-21,114810421450,13747792,2648,299334,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,베테랑,2015-08-05,105170856250,13414484,1115,199307,한국,한국,(주)씨제이이엔엠
8,아바타,2009-12-17,125304346000,13338863,917,164457,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
9,도둑들,2012-07-25,93672497700,12984701,1091,155487,한국,"한국,홍콩",(주)쇼박스
10,7번방의 선물,2013-01-23,91437368170,12812144,866,167013,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,알라딘,2019-05-23,108160549039,12723777,1409,282221,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,암살,2015-07-22,98468525781,12706829,1519,175214,한국,한국,(주)쇼박스
13,"광해, 왕이 된 남자",2012-09-13,88913283469,12324062,1001,203464,한국,한국,(주)씨제이이엔엠
14,신과함께-인과 연,2018-08-01,102689349539,12278010,2235,180750,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
15,택시운전사,2017-08-02,95871553649,12189698,1906,184204,한국,한국,(주)쇼박스
16,부산행,2016-07-20,93187397548,11567662,1788,151530,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
17,변호인,2013-12-18,82874748788,11375123,925,152284,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
18,해운대,2009-07-22,81027925000,11324958,764,154329,한국,한국,CJ ENM
19,어벤져스: 인피니티 워,2018-04-25,100081428549,11233176,2553,243677,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
20,괴물,2006-07-27,66717700300,10917400,647,113105,한국,한국,(주)쇼박스
21,왕의 남자,2005-12-29,66019904400,10514177,313,111193,한국,한국,(주)시네마서비스
22,어벤져스: 에이지 오브 울트론,2015-04-23,88640214246,10504007,1843,194351,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
23,인터스텔라,2014-11-06,82837208500,10326240,1410,170192,미국,"미국,영국",워너브러더스 코리아(주)
24,기생충,2019-05-30,87460625095,10313163,1948,206398,한국,한국,(주)씨제이이엔엠
25,겨울왕국,2014-01-16,82521307080,10303058,1010,157838,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
26,보헤미안 랩소디,2018-10-31,86280975785,9948386,1179,232226,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
27,검사외전,2016-02-03,77320403264,9707581,1812,153532,한국,한국,(주)쇼박스
28,엑시트,2019-07-31,79234931162,9426421,1660,202238,한국,한국,(주)씨제이이엔엠
29,설국열차,2013-08-01,67035020000,9353799,1128,125777,한국,"한국,체코",(주)씨제이이엔엠
30,관상,2013-09-11,66009826500,9135806,1240,125107,한국,한국,(주)쇼박스
31,아이언맨 3,2013-04-25,70809259500,9001679,1389,163596,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
32,캡틴 아메리카: 시빌 워,2016-04-27,72679892327,8678117,1991,161713,미국,미국,월트디즈니컴퍼니코리아(주)
33,해적: 바다로 간 산적,2014-08-06,66372140706,8666208,910,133354,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
34,수상한 그녀,2014-01-22,62720822849,8660651,1027,137008,한국,한국,(주)씨제이이엔엠
